coll_time_round,Date Time(RAW),RSRP_Wo_Round,mean_AvgRsrp,Downtime,Downtime(RAW),Coverage,Coverage(RAW),serial,sensor_distance
3/8/2024 9:00,45359.625,-93 #,-93,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 9:00,45359.625,-55.8833333333333 #,-55.8833,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 9:00,45359.625,-84.75 #,-84.75,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 9:00,45359.625,-79.8 #,-79.8,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 9:00,45359.625,-80.55 #,-80.55,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 9:00,45359.625,-102.866666666667 #,-102.8667,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 9:00,45359.625,-89.1333333333333 #,-89.1333,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 9:00,45359.625,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 9:00,45359.625,-82.55 #,-82.55,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 9:00,45359.625,-78.7 #,-78.7,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 9:00,45359.625,-77.6166666666667 #,-77.6167,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 10:00,45359.66667,-56.0166666666667 #,-56.0167,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 10:00,45359.66667,-78.2333333333333 #,-78.2333,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 10:00,45359.66667,-83.3333333333333 #,-83.3333,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 10:00,45359.66667,-84.4833333333333 #,-84.4833,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 10:00,45359.66667,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 10:00,45359.66667,-93.35 #,-93.35,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 10:00,45359.66667,-79.0833333333333 #,-79.0833,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 10:00,45359.66667,-80.2 #,-80.2,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 10:00,45359.66667,-102.5 #,-102.5,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 10:00,45359.66667,-89.6833333333333 #,-89.6833,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 10:00,45359.66667,-79.6666666666667 #,-79.6667,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 11:00,45359.70833,-84.8666666666667 #,-84.8667,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 11:00,45359.70833,-90.2 #,-90.2,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 11:00,45359.70833,-102.6 #,-102.6,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 11:00,45359.70833,-83.6833333333333 #,-83.6833,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 11:00,45359.70833,-79.8833333333333 #,-79.8833,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 11:00,45359.70833,-79.8833333333333 #,-79.8833,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 11:00,45359.70833,-93.4333333333333 #,-93.4333,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 11:00,45359.70833,-70.0166666666667 #,-70.0167,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 11:00,45359.70833,-78.8333333333333 #,-78.8333,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 11:00,45359.70833,-56.75 #,-56.75,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 11:00,45359.70833,-80.0833333333333 #,-80.0833,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 12:00,45359.75,-57 #,-57,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 12:00,45359.75,-90.55 #,-90.55,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 12:00,45359.75,-93.3 #,-93.3,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 12:00,45359.75,-84.7666666666667 #,-84.7667,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 12:00,45359.75,-78.9333333333333 #,-78.9333,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 12:00,45359.75,-79.5 #,-79.5,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 12:00,45359.75,-80.5666666666667 #,-80.5667,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 12:00,45359.75,-80.05 #,-80.05,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 12:00,45359.75,-102.766666666667 #,-102.7667,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 12:00,45359.75,-83.9833333333333 #,-83.9833,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 12:00,45359.75,-86.3061224489796 #,-86.3061,17%,17.42,100%,10000,SN1001000878870,0.311663855
3/8/2024 12:00,45359.75,-70.1333333333333 #,-70.1333,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 13:00,45359.79167,-80.5166666666667 #,-80.5167,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 13:00,45359.79167,-90.55 #,-90.55,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 13:00,45359.79167,-83.3166666666667 #,-83.3167,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 13:00,45359.79167,-70.1166666666667 #,-70.1167,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 13:00,45359.79167,-84.85 #,-84.85,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 13:00,45359.79167,-103.333333333333 #,-103.3333,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 13:00,45359.79167,-86.2666666666667 #,-86.2667,0%,0,100%,10000,SN1001000878870,0.311663855
3/8/2024 13:00,45359.79167,-79.9166666666667 #,-79.9167,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 13:00,45359.79167,-79.2833333333333 #,-79.2833,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 13:00,45359.79167,-80.35 #,-80.35,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 13:00,45359.79167,-92.7666666666667 #,-92.7667,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 13:00,45359.79167,-57 #,-57,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 14:00,45359.83333,-92.9666666666667 #,-92.9667,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 14:00,45359.83333,-79.25 #,-79.25,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 14:00,45359.83333,-70.1833333333333 #,-70.1833,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 14:00,45359.83333,-80.5666666666667 #,-80.5667,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 14:00,45359.83333,-103.033333333333 #,-103.0333,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 14:00,45359.83333,-56.9833333333333 #,-56.9833,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 14:00,45359.83333,-86.2 #,-86.2,0%,0,100%,10000,SN1001000878870,0.311663855
3/8/2024 14:00,45359.83333,-79.8 #,-79.8,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 14:00,45359.83333,-84.8166666666667 #,-84.8167,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 14:00,45359.83333,-83.25 #,-83.25,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 14:00,45359.83333,-80.7166666666667 #,-80.7167,0%,0,100%,10000,SN1001000878875,0.383627261
